File: ./data/WGFiles/web-Google.wg, Nodes: 875713, Edges: 4563235
Load to crs time: 180.208871 ms
NTWPR_pagerank:
Make graph stochastic time: 82.264015 ms
Iteration: 112.806999 ms	Convergence's delta: 3.02e-06
Iteration: 111.828589 ms	Convergence's delta: 1.20e-06
Iteration: 111.787422 ms	Convergence's delta: 2.40e-07
Iteration: 111.750481 ms	Convergence's delta: 5.43e-08
Iteration: 111.881815 ms	Convergence's delta: 1.66e-08
Iteration: 111.889834 ms	Convergence's delta: 7.05e-09
Iteration: 111.792655 ms	Convergence's delta: 3.61e-09
Iteration: 111.692924 ms	Convergence's delta: 1.97e-09
Iteration: 111.732568 ms	Convergence's delta: 1.14e-09
Iteration: 111.806327 ms	Convergence's delta: 6.84e-10
Iteration: 111.903493 ms	Convergence's delta: 4.19e-10
Iteration: 111.769419 ms	Convergence's delta: 2.63e-10
Iteration: 111.794558 ms	Convergence's delta: 1.67e-10
Iteration: 111.842090 ms	Convergence's delta: 1.08e-10
Iteration: 111.960254 ms	Convergence's delta: 7.06e-11
Iteration: 111.777615 ms	Convergence's delta: 4.68e-11
Iteration: 111.692030 ms	Convergence's delta: 3.12e-11
Iteration: 111.725417 ms	Convergence's delta: 2.12e-11
Iteration: 111.710259 ms	Convergence's delta: 1.43e-11
Iteration: 111.794887 ms	Convergence's delta: 9.96e-12
Iteration: 111.829458 ms	Convergence's delta: 6.87e-12
Iteration: 111.731200 ms	Convergence's delta: 4.89e-12
Iteration: 111.940411 ms	Convergence's delta: 3.43e-12
Iteration: 111.858946 ms	Convergence's delta: 2.50e-12
Iteration: 111.813495 ms	Convergence's delta: 1.78e-12
Iteration: 111.670722 ms	Convergence's delta: 1.33e-12
Iteration: 111.731711 ms	Convergence's delta: 9.66e-13
Whole pagerank time: 3134.649513 ms
