File: ./data/WGFiles/web-BerkStan.wg, Nodes: 685230, Edges: 7600595
Load to crs time: 146.034422 ms
NTWPR_pagerank:
Make graph stochastic time: 35.942044 ms
Iteration: 15.950629 ms	Convergence's delta: 6.14e-06
Iteration: 12.970912 ms	Convergence's delta: 6.35e-06
Iteration: 13.082429 ms	Convergence's delta: 2.19e-06
Iteration: 13.430564 ms	Convergence's delta: 4.46e-07
Iteration: 13.457110 ms	Convergence's delta: 1.76e-07
Iteration: 13.577301 ms	Convergence's delta: 5.06e-08
Iteration: 13.306175 ms	Convergence's delta: 2.39e-08
Iteration: 13.436393 ms	Convergence's delta: 8.70e-09
Iteration: 13.503837 ms	Convergence's delta: 4.90e-09
Iteration: 13.134121 ms	Convergence's delta: 2.03e-09
Iteration: 13.828797 ms	Convergence's delta: 1.20e-09
Iteration: 13.430325 ms	Convergence's delta: 5.31e-10
Iteration: 13.309312 ms	Convergence's delta: 3.32e-10
Iteration: 13.796289 ms	Convergence's delta: 1.51e-10
Iteration: 13.650667 ms	Convergence's delta: 9.60e-11
Iteration: 13.536425 ms	Convergence's delta: 4.45e-11
Iteration: 12.236708 ms	Convergence's delta: 2.79e-11
Iteration: 12.148171 ms	Convergence's delta: 1.36e-11
Iteration: 12.144685 ms	Convergence's delta: 8.42e-12
Iteration: 12.406233 ms	Convergence's delta: 4.15e-12
Iteration: 7.825791 ms	Convergence's delta: 2.57e-12
Iteration: 8.162505 ms	Convergence's delta: 1.28e-12
Iteration: 8.278797 ms	Convergence's delta: 7.72e-13
Iteration: 8.242913 ms	Convergence's delta: 3.91e-13
Iteration: 7.990993 ms	Convergence's delta: 2.35e-13
Iteration: 8.053223 ms	Convergence's delta: 1.21e-13
Iteration: 8.333966 ms	Convergence's delta: 7.21e-14
Iteration: 8.089945 ms	Convergence's delta: 3.75e-14
Iteration: 8.177341 ms	Convergence's delta: 2.23e-14
Iteration: 8.123021 ms	Convergence's delta: 1.17e-14
Iteration: 1.886954 ms	Convergence's delta: 6.88e-15
Iteration: 1.775758 ms	Convergence's delta: 3.13e-15
Iteration: 1.700021 ms	Convergence's delta: 1.55e-15
Iteration: 1.752056 ms	Convergence's delta: 7.13e-16
Iteration: 1.696642 ms	Convergence's delta: 3.63e-16
Iteration: 1.697340 ms	Convergence's delta: 1.67e-16
Iteration: 1.682297 ms	Convergence's delta: 8.85e-17
Iteration: 1.580792 ms	Convergence's delta: 4.05e-17
Iteration: 1.553989 ms	Convergence's delta: 2.21e-17
Iteration: 1.554985 ms	Convergence's delta: 1.04e-17
Iteration: 0.415377 ms	Convergence's delta: 5.66e-18
Iteration: 0.398558 ms	Convergence's delta: 1.60e-18
Iteration: 0.394254 ms	Convergence's delta: 1.71e-19
Whole pagerank time: 415.494467 ms
