File: ../data/WGFiles/web-Google.wg, Nodes: 875713, Edges: 4563235
Load to crs time: 179.898670 ms
NTWPR_pagerank:
Make graph stochastic time: 85.847182 ms
Iteration: 113.921139 ms	Convergence's delta: 8.79e-05
Iteration: 113.107013 ms	Convergence's delta: 3.78e-05
Iteration: 113.031695 ms	Convergence's delta: 1.72e-05
Iteration: 113.059178 ms	Convergence's delta: 7.84e-06
Iteration: 113.178488 ms	Convergence's delta: 3.59e-06
Iteration: 113.256426 ms	Convergence's delta: 1.66e-06
Iteration: 113.142730 ms	Convergence's delta: 7.76e-07
Iteration: 113.094577 ms	Convergence's delta: 3.66e-07
Iteration: 113.155388 ms	Convergence's delta: 1.74e-07
Iteration: 113.104305 ms	Convergence's delta: 8.36e-08
Iteration: 113.074631 ms	Convergence's delta: 4.04e-08
Iteration: 113.022501 ms	Convergence's delta: 1.97e-08
Iteration: 113.004594 ms	Convergence's delta: 9.69e-09
Iteration: 113.151135 ms	Convergence's delta: 4.80e-09
Iteration: 113.192527 ms	Convergence's delta: 2.39e-09
Iteration: 113.134022 ms	Convergence's delta: 1.20e-09
Iteration: 113.067024 ms	Convergence's delta: 6.05e-10
Iteration: 113.178623 ms	Convergence's delta: 3.07e-10
Iteration: 113.115216 ms	Convergence's delta: 1.57e-10
Iteration: 113.066645 ms	Convergence's delta: 8.02e-11
Iteration: 113.115195 ms	Convergence's delta: 4.13e-11
Iteration: 113.096976 ms	Convergence's delta: 2.14e-11
Iteration: 113.154197 ms	Convergence's delta: 1.11e-11
Iteration: 113.143901 ms	Convergence's delta: 5.77e-12
Iteration: 113.158088 ms	Convergence's delta: 3.02e-12
Iteration: 113.070329 ms	Convergence's delta: 1.58e-12
Iteration: 113.138341 ms	Convergence's delta: 8.31e-13
Whole pagerank time: 3179.438347 ms
