File: ./data/WGFiles/web-Google.wg, Nodes: 875713, Edges: 4563235
Load to crs time: 91.072973 ms
NTWPR_pagerank:
Make graph stochastic time: 48.722785 ms
Iteration: 51.038949 ms	Convergence's delta: 8.79e-05
Iteration: 45.054077 ms	Convergence's delta: 3.78e-05
Iteration: 50.457014 ms	Convergence's delta: 1.72e-05
Iteration: 44.763650 ms	Convergence's delta: 7.84e-06
Iteration: 47.463572 ms	Convergence's delta: 3.59e-06
Iteration: 48.747755 ms	Convergence's delta: 1.66e-06
Iteration: 45.223417 ms	Convergence's delta: 7.76e-07
Iteration: 51.969953 ms	Convergence's delta: 3.66e-07
Iteration: 47.910459 ms	Convergence's delta: 1.74e-07
Iteration: 49.328139 ms	Convergence's delta: 8.36e-08
Iteration: 44.584912 ms	Convergence's delta: 4.04e-08
Iteration: 50.528044 ms	Convergence's delta: 1.97e-08
Iteration: 44.874392 ms	Convergence's delta: 9.69e-09
Iteration: 49.542070 ms	Convergence's delta: 4.80e-09
Iteration: 45.893781 ms	Convergence's delta: 2.39e-09
Iteration: 47.734326 ms	Convergence's delta: 1.20e-09
Iteration: 48.464185 ms	Convergence's delta: 6.05e-10
Iteration: 45.107497 ms	Convergence's delta: 3.07e-10
Iteration: 51.602268 ms	Convergence's delta: 1.57e-10
Iteration: 44.080442 ms	Convergence's delta: 8.02e-11
Iteration: 50.236988 ms	Convergence's delta: 4.13e-11
Iteration: 44.198677 ms	Convergence's delta: 2.14e-11
Iteration: 49.328316 ms	Convergence's delta: 1.11e-11
Iteration: 46.347094 ms	Convergence's delta: 5.77e-12
Iteration: 45.785265 ms	Convergence's delta: 3.02e-12
Whole pagerank time: 1252.494469 ms
