File: ./data/WGFiles/web-NotreDame.wg, Nodes: 325729, Edges: 1497134
Load to crs time: 26.860056 ms
NTWPR_pagerank:
Make graph stochastic time: 6.766065 ms
Iteration: 4.028988 ms	Convergence's delta: 5.35e-04
Iteration: 3.781002 ms	Convergence's delta: 1.00e-03
Iteration: 3.818848 ms	Convergence's delta: 7.16e-04
Iteration: 4.712837 ms	Convergence's delta: 4.24e-04
Iteration: 4.806205 ms	Convergence's delta: 2.26e-04
Iteration: 4.836982 ms	Convergence's delta: 1.23e-04
Iteration: 4.356663 ms	Convergence's delta: 6.71e-05
Iteration: 3.741163 ms	Convergence's delta: 3.66e-05
Iteration: 3.913538 ms	Convergence's delta: 2.06e-05
Iteration: 4.138923 ms	Convergence's delta: 1.16e-05
Iteration: 4.203712 ms	Convergence's delta: 6.59e-06
Iteration: 3.701044 ms	Convergence's delta: 3.81e-06
Iteration: 3.705398 ms	Convergence's delta: 2.19e-06
Iteration: 3.724868 ms	Convergence's delta: 1.25e-06
Iteration: 3.722244 ms	Convergence's delta: 7.19e-07
Iteration: 3.722917 ms	Convergence's delta: 4.12e-07
Iteration: 3.706504 ms	Convergence's delta: 2.36e-07
Iteration: 3.776665 ms	Convergence's delta: 1.36e-07
Iteration: 3.691021 ms	Convergence's delta: 7.78e-08
Iteration: 3.702840 ms	Convergence's delta: 4.45e-08
Iteration: 3.614397 ms	Convergence's delta: 2.56e-08
Iteration: 3.616528 ms	Convergence's delta: 1.46e-08
Iteration: 3.587712 ms	Convergence's delta: 8.39e-09
Iteration: 3.750209 ms	Convergence's delta: 4.81e-09
Iteration: 3.726430 ms	Convergence's delta: 2.76e-09
Iteration: 3.713031 ms	Convergence's delta: 1.58e-09
Iteration: 3.704717 ms	Convergence's delta: 9.11e-10
Iteration: 3.698988 ms	Convergence's delta: 5.23e-10
Iteration: 3.685941 ms	Convergence's delta: 3.02e-10
Iteration: 3.697043 ms	Convergence's delta: 1.73e-10
Iteration: 3.642723 ms	Convergence's delta: 1.00e-10
Iteration: 3.623496 ms	Convergence's delta: 5.77e-11
Iteration: 3.613127 ms	Convergence's delta: 3.35e-11
Iteration: 3.628177 ms	Convergence's delta: 1.93e-11
Iteration: 3.630301 ms	Convergence's delta: 1.12e-11
Iteration: 3.585319 ms	Convergence's delta: 6.51e-12
Iteration: 3.713520 ms	Convergence's delta: 3.80e-12
Iteration: 3.712194 ms	Convergence's delta: 2.20e-12
Iteration: 3.696724 ms	Convergence's delta: 1.29e-12
Iteration: 3.690556 ms	Convergence's delta: 7.51e-13
Whole pagerank time: 164.253522 ms
