File: ./data/WGFiles/web-Stanford.wg, Nodes: 281903, Edges: 2312485
Load to crs time: 42.147204 ms
NTWPR_pagerank:
Make graph stochastic time: 14.862485 ms
Iteration: 10.746209 ms	Convergence's delta: 2.50e-05
Iteration: 9.711751 ms	Convergence's delta: 4.35e-05
Iteration: 8.902917 ms	Convergence's delta: 1.36e-05
Iteration: 10.252798 ms	Convergence's delta: 4.80e-06
Iteration: 9.131863 ms	Convergence's delta: 1.95e-06
Iteration: 9.038139 ms	Convergence's delta: 8.26e-07
Iteration: 8.703912 ms	Convergence's delta: 2.71e-07
Iteration: 9.002931 ms	Convergence's delta: 9.10e-08
Iteration: 8.729338 ms	Convergence's delta: 2.24e-08
Iteration: 8.730899 ms	Convergence's delta: 8.53e-09
Iteration: 8.924319 ms	Convergence's delta: 2.51e-09
Iteration: 8.724332 ms	Convergence's delta: 9.09e-10
Iteration: 8.749791 ms	Convergence's delta: 3.67e-10
Iteration: 8.732474 ms	Convergence's delta: 1.37e-10
Iteration: 9.039010 ms	Convergence's delta: 6.52e-11
Iteration: 8.740217 ms	Convergence's delta: 2.73e-11
Iteration: 9.284245 ms	Convergence's delta: 1.38e-11
Iteration: 8.879491 ms	Convergence's delta: 6.85e-12
Iteration: 8.866862 ms	Convergence's delta: 3.41e-12
Iteration: 8.807242 ms	Convergence's delta: 1.77e-12
Iteration: 8.749895 ms	Convergence's delta: 9.44e-13
Whole pagerank time: 209.601375 ms
